,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
0,The Constant Gardener,2005,129 min,"
Drama, Mystery, Romance            ",7.4,82        ,Fernando Meirelles,"Ralph Fiennes,Rachel Weisz,Danny Huston,Hubert Koundé","138,234","A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption."
1,Endangered Species,2021,101 min,"
Action, Thriller            ",4.6,NA,M.J. Bassett,"Rebecca Romijn,Philip Winchester,Isabel Bassett,Michael Johnston","1,482","Jack Halsey takes his wife, their adult kids, and a friend for a dream vacation in Kenya. But as they venture off alone into a wilderness park, their safari van is flipped over by an angry rhino, leaving them injured and desperate."
2,Samsara,I 2011,102 min,"
Documentary, Music            ",8.5,65        ,Ron Fricke,"Balinese Tari Legong Dancers,Ni Made Megahadi Pratiwi,Puti Sri Candra Dewi,Putu Dinda Pratika","35,050","Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders."
3,Uradi,2020,115 min,"
Thriller            ",6.9,NA,Kang'ethe Mungai,"Mwaura Bilal,Chris Kamau,Shix Kapyenga,Peter Kawa",25,A university students looks for a way to make quick and easy money and finds out that its not as easy as he imagined.
4,The Pirates of Somalia,2017,116 min,"
Biography, Drama            ",6.8,54        ,Bryan Buckley,"Al Pacino,Evan Peters,Melanie Griffith,Barkhad Abdi","9,767","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself with the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men are, how they live, and the forces that drive them."
5,The Good Lie,2014,110 min,"
Biography, Drama            ",7.4,65        ,Philippe Falardeau,"Reese Witherspoon,Arnold Oceng,Ger Duany,Emmanuel Jal","28,282","A group of Sudanese refugees, given the chance to resettle in the U.S., arrive in Kansas City, Missouri, where their encounter with an employment agency counselor forever changes all of their lives."
6,White Mischief,1987,107 min,"
Crime, Drama, Mystery            ",6.3,NA,Michael Radford,"Sarah Miles,Joss Ackland,Greta Scacchi,Charles Dance","2,767","In 1940s Kenya, a married couple join other affluent British expatriates in a lifestyle of recklessness and excess, but soon find themselves in a troubling situation."
7,The Elephant Queen,2018,96 min,"
Documentary, Family            ",7.8,69        ,Mark Deeble,"Victoria Stone,Chiwetel Ejiofor","1,793","Athena is a mother who will do everything in her power to protect her herd when they are forced to leave their waterhole. This epic journey, narrated by Chiwetel Ejiofor, takes audiences across the African savannah, and into the heart of an elephant family. A tale of love, loss and coming home."
8,Rafiki,2018,83 min,"
Drama, Romance            ",6.8,68        ,Wanuri Kahiu,"Samantha Mugatsia,Neville Misati,Nice Githinji,Charlie Karumi","2,719","""Good Kenyan girls become good Kenyan wives,"" but Kena and Ziki long for something more. When love blossoms between them, the two girls will be forced to choose between happiness and safety."
9,All That Way for Love,2011,20 min,"
Short, Drama, Thriller            ",7.1,NA,Henry Mason,"Derek de Lint,Belinda Stewart-Wilson,Andrew Simpson,Sarah Solemani",83,"A young idealistic Irishman, Simon who is traveling across Africa to reach his girlfriend, Jennifer hitches a ride with a warring European couple, Kate and Casper. The crossfire could be deadly."
10,Mully,2015,81 min,"
Documentary, Adventure, Biography            ",8.2,NA,Scott Haze,"Charles Mully,Esther Mully,Isaac Mulli,Ndondo Mulli",340,"A homeless orphan in Kenya becomes a lucrative businessman, only to give it all up and open an orphanage that today serves over 2000 Kenyan children."
11,Just in Time,2021,91 min,"
Comedy, Drama, Family            ",6.8,NA,Lowladee Omolola Adeleke,"Sarah Hassan,Stycie Waweru,Mawuli Gavor,Pierra Makena",38,A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.
12,The First Grader,2010,103 min,"
Biography, Drama, Romance            ",7.4,56        ,Justin Chadwick,"Naomie Harris,Oliver Litondo,Tony Kgoroge,Alfred Munyua","4,569",The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.
13,In the Shadow of Kilimanjaro,1985,97 min,"
Action, Adventure, Drama            ",5.2,NA,Raju Patel,"John Rhys-Davies,Timothy Bottoms,Irene Miracle,Michele Carey",425,"Because of a severe drought in Kenya in 1984, ninety thousand starving baboons go on a murderous rampage, killing humans and animals alike."
14,Rise and Fall of Idi Amin,1981,101 min,"
Biography, Crime, Drama            ",6.0,NA,Sharad Patel,"Joseph Olita,Thomas Baptiste,Leonard Trolley,Geoffrey Keen",438,The chronicle of Ugandan dictator Idi Amin and his tyranic rule from 1971 to his overthrow in 1979.
15,Supa Modo,2018,74 min,"
Drama            ",7.3,NA,Likarion Wainaina,"Stycie Waweru,Marrianne Nungo,Nyawara Ndambia,Johnson Gitau Chege",453,"Story of a young girl whose dream of becoming a superhero is threatened by terminal illness, inspiring her village to rally together to make her dream come true."
16,Nairobi Half Life,2012,96 min,"
Drama            ",7.4,NA,David 'Tosh' Gitonga,"Joseph Wairimu,Olwenya Maina,Nancy Wanjiku Karanja,Mugambi Nthiga",915,"A young, aspiring actor from upcountry Kenya dreams of becoming a success in the big city. In pursuit of this and to the chagrin of his brother and parents, he makes his way to Nairobi:the city of opportunity."
17,To Walk with Lions,1999,110 min,"
Adventure, Biography, Drama            ",6.8,NA,Carl Schultz,"Richard Harris,John Michie,Kerry Fox,Ian Bannen",881,"George Adamson fights to save Kenya's wildlife. Together with his young assistant Tony Fitzjohn, he battles to keep the animals on his game reserve, and ""Kora"", from dangerous poachers."
18,40 Sticks,2020,92 min,"
Thriller            ",6.7,NA,Victor Gatonye,"Shiviske Shivisi,Robert Agengo,Mwaura Bilal,Cajetan Boy",94,A group of prisoners trapped in a crashed prison bus strive to stay alive when they realize there is a mysterious killer lurking in the shadows.
19,Ayaanle,2022,NA,"
Drama            ",NA,NA,Ahmed Farah,"Barkhad Abdirahman,Blessing Lungaho,Pascal Tokodi,Keith Chuaga",NA,"AYAANLE is a 21 year old, young man living in Nairobi who aspires to become an actor and reach Hollywood. Despite his conservative upbringing and coming from an impoverished background, he ...                See full synopsis »"
20,Disconnect,II 2018,107 min,"
Comedy, Romance            ",5.6,NA,David 'Tosh' Gitonga,"Michael Jones,Brenda Wairimu,Nick Mutuma,Catherine Kamau,Pascal Tokodi",116,A romantic comedy that brings out the intricacies and absurdities of the Nairobi dating scene.
21,Fishing Without Nets,2014,109 min,"
Drama, Thriller            ",6.5,65        ,Cutter Hodierne,"Abdiwali Farrah,Eric Godon,Abdikhadir Hassan,Idil Ibrahim",252,A drama the follows a Somali who opts in on a piracy mission but then tries to extricate himself from the events.
22,Mission to Rescue,2021,93 min,"
Action, Thriller            ",NA,NA,Gilbert K. Lukalia,"Melvin Alusa,Warsame Abdi,Abdi Yusuf,Emmanuel Mugo",NA,"Along the Kenya- Somali border, the Kenya Special Operations Forces who are training for their next mission receive word that the Assistant County Commissioner and two others have been ...                See full summary »"
23,I Am Samuel,2020,69 min,"
Documentary            ",7.0,NA,Peter Murimi,,61,"Filmed verite style over five years, I Am Samuel is an intimate portrait of a Kenyan man torn between balancing duty to his family with his dreams for his future."
24,Poacher,2018,29 min,"
Short, Action, Crime            ",6.4,NA,Tom Whitworth,"Brian Ogola,Davina Leonard,Lenny Juma,Shiviske Shivisi",68,A desperate farmer runs into trouble after he steals a stash of blood ivory from a gang of international terrorists.
25,The Time Is... Now,2013,86 min,"
Documentary, Animation, Crime            ",8.4,NA,Vishal Hiraskar,"Lord Nazir Ahmed,Moses Akaranga,Ashraf Bashabsheh,Aumar Bashabsheh",18,"The Makers of this film have spent the past 3 years and traveled to 14 countries interviewing Politicians, Clinical Psychologists from the United Nations, Spiritual Missionaries and have ...                See full summary »"
26,Living in the Age of Airplanes,2015,47 min,"
Documentary            ",7.4,NA,Brian J. Terwilliger,Harrison Ford,494,"This is a story about how the airplane has changed the world. Filmed in 18 countries across all seven continents, it renews our appreciation for one of the most extraordinary and awe-inspiring aspects of the modern world."
27,"Poverty, Inc.",2014,94 min,"
Documentary, History, News            ",7.7,NA,Michael Matheson Miller,Robert Sirico,660,"From Toms Shoes to international adoptions, from solar panels to U.S. agricultural subsidies, drawing from over 200 interviews filmed in 20 countries, Poverty, Inc. unearths an uncomfortable side of charity we can no longer ignore."
28,Leaving Isiolo,2021,15 min,"
Short, Drama            ",NA,NA,Irungu Mutu,"Auudi Rowa,Zhang Renquan,Irungu Mutu,Zhao Chuangzao",NA,"In and around the restless border town of Isiolo in Northern Kenya, a young couple seek to forge a new life together."
29,Gardeners of Eden,2014,72 min,"
Documentary, Adventure, Drama            ",8.0,NA,Austin Peck,Anneliese Vandenberg,114,"Africa's elephants are hurtling towards extinction to fuel the worldwide ivory trade. While conservationists howl and corrupt governments fail to address the ongoing slaughter, one brave ...                See full summary »"
30,Watu Wote: All of us,2017,22 min,"
Short, Drama            ",7.4,NA,Katja Benrath,"Adelyne Wairimu,Abdiwali Farrah,Barkhad Abdirahman,Charlie Karumi",852,"For a decade Kenya has been targeted by terrorist attacks of the Al-Shabaab. An atmosphere of anxiety and mistrust between Muslims and Christians is growing. Until in December 2015, Muslim bus passengers showed that solidarity can prevail."
31,Khel,1992,152 min,"
Comedy, Drama, Romance            ",6.4,NA,Rakesh Roshan,"Aparajita,Prem Chopra,Madhuri Dixit,Vijayendra Ghatge",561,"Widowed and elderly industrialist Sulakshana Devi allows her business and estate to be taken care of by her nephew, Balwant. Shortly after her return from the overseas her only son, Ravi ...                See full summary »"
