,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
0,The Girl in the Yellow Jumper,2020,81 min,"
Thriller            ",5.4,NA,Loukman Ali,"Michael Wawuyo Jr.,Rehema Nanfuka,Maurice Kirya,Michael Wawuyo",486,"A man reappears after being kidnapped, but you'd never believe his story."
1,Who Killed Captain Alex?,2010,64 min,"
Action, Crime, Mystery            ",8.1,NA,Nabwana I.G.G.,"Kakule William,Sserunya Ernest,G. Puffs,Kavubu Muhammed","8,646","Uganda's president gives Captain Alex the mission to defeat the Tiger Maffia, but Alex gets killed in the process. Upon hearing the tragic news, his brother investigates to avenge Alex."
2,Akanda,2021,5 min,"
Short, Fantasy            ",9.8,NA,Akram Kamya,Kizito Samuel Saviour,122,A brief short experimental film about getting lost on a lake
3,Bad Black,2016,68 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Bisaso Dauda,Nakaye Jane,Kabuye John,Alan Hofmanis",827,A mild-mannered doctor is trained in the art of ass-kicking commando vengeance by a no-nonsense ghetto kid named Wesley Snipes.
4,Imperial Blue,2019,90 min,"
Drama, Fantasy, Thriller            ",4.8,NA,Dan Moss,"Ashish Verma,Paul Dewdney,Nicolas Fagerberg,Durassie Kiangangu",243,"Hugo Winter a roguish American drug smuggler, travels to Uganda in an attempt to export a large amount of Bulu, a sacred herb that grants the user visions of their future. Upon arriving in ...                See full summary »"
5,The Blind Date,2021,29 min,"
Short, Action            ",8.2,NA,Loukman Ali,"Michael Wawuyo Jr.,Martha Kay,Raymond Rushabiro,Patriq Nkakalukanyi",13,"Jeff has a crush on a girl that's way outside his social class but he won't let that stop him. He'll do whatever it takes, including breaking a few rules."
6,Ani Mulalu? The Crazy World,2014,82 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Isaac Newton Kizito,Kirabo Beatrice,Nattembo Racheal Monica,Kayibaare Fausitah",480,"After a commando's daughter is kidnapped by the Tiger Mafia, he goes insane and starts a quest to stop the kidnappings with the father of another kidnapped child."
7,Hidden Agenda,,65 min,"
Drama            ",9.7,NA,Ssembatya Shafiq,"Nababi Milly .H.,Kiwanuka Abdulmalik,Xandra Aroth,Bagura Ben",6,Tasha (Namutebi Munirah) was a slay queen who used to spend more than she earned. Mr. Mutebi (Ssali Matia) was an ordinary businessman who invested in the wrong pyramid circle.
8,Sixteen Rounds,2021,37 min,"
Short, Thriller            ",8.2,NA,Loukman Ali,"River Dan Rugaju,Natasha Sinayobye,Jack Kinobe Sserunkuuma,Michael Wawuyo Jr.",9,The film revolves around a former army man Captain Ddamba (Michael Wawuyo Jr.) and his wife Dorothy Natasha Sinayobye and their messy love life characterized by infidelity.
9,Mzungu (n.) White-Wanderer,2010,80 min,"
Documentary, Adventure, Drama            ",9.2,NA,Shane Gilbert,"Shane Gilbert,Daniel Adams,Eric Byington,Scott Byington",12,"This feature length documentary, Mzungu, is our story about personal change, sacrifice, adventure, and ultimately the power of love and community. You will embark on a journey into the ...                See full summary »"
10,Once Upon a Time in Uganda,2021,94 min,"
Documentary            ",7.6,NA,Cathryne Czubek,"Hugo Perez,Asiimwe Apollo,Bukenya Charles,Bisaso Dauda,V.J. Emmie",9,A brick maker in Uganda becomes an Internet sensation when he tries his hand at making action movies.
11,Bukunja Tekunja Mitti: The Cannibals,2012,76 min,"
Action, Horror            ",9.2,NA,Nabwana I.G.G.,"Andrew Wagaba,Nakatudde Madinah,Kigozi Juma,Sserunya Ernest",58,It's an action packed movie
12,Tebaatusasula: Ebola,,102 min,"
Action            ",NA,NA,Nabwana I.G.G.,"Alan Hofmanis,Francisco Rodríguez Prieto,Toni Rodriguez,Bukenya Charles",NA,Ebola hunters stomp out the Ebola virus while in a third world country.
13,Fidelity,2019,12 min,"
Short, Drama            ",NA,NA,Kizito Samuel Saviour,"Angèl Toni Acer,Rose Basemera,Namara Jolly,Josephine Kabahuma",NA,"A campus student, Claire's heart is put to the edge as her life, friendship, love and trust is tested by her friends."
14,Kung Fu Brothers,2020,72 min,"
Action            ",NA,NA,Nabwana I.G.G.,"Asiimwe Apollo,Nsamba Francis,Isaac Newton Kizito",NA,Add a Plot
15,27 Guns,2018,NA,"
Action, Adventure, Biography            ",7.5,NA,Natasha Museveni Karugire,"Arnold Mubangizi,Diana Museveni Kamuntu,Sezi Jedidiah Nuwewenka,Godwin Ahimbisibwe",14,27 Guns is a biopic based on true events of Uganda's liberation struggle. It tells the story of a young man and his unlikely group of young idealists who leave all to fight for salvation of...                See full summary »
16,Tebaatusasula,2010,NA,"
Action            ",9.3,NA,Nabwana I.G.G.,Sserunya Ernest,27,Add a Plot
17,The Future of Work and Death,2016,88 min,"
Documentary            ",6.9,NA,Sean Blacknell,"Wayne Walsh,Stuart Armstrong,Isaac Asimov,Peter Cochrane,Joanna Cook",197,Leading thinkers explore how technology is going to shape the future of humanity.
18,Call Me Kuchu,2012,87 min,"
Documentary, Drama            ",7.6,80        ,Katherine Fairfax Wright,"Malika Zouhali-Worrall,David Bahati,David Kato,Gilles Muhame,Naome Ruzindana",792,"In Uganda, a new bill threatens to make homosexuality punishable by death. David Kato - Uganda's first openly gay man - and his fellow activists work against the clock to defeat the ...                See full summary »"
19,Ejjini lye ntwetwe,2015,93 min,"
Adventure, Thriller            ",NA,NA,Nabwana I.G.G.,"Wephukulu Anthony,Kasirye John Bosco,Bisaso Dauda,V.J. Emmie",NA,Add a Plot
20,Ddamba,2022,NA,"
Action            ",NA,NA,Loukman Ali,"Michael Wawuyo Jr.,Natasha Sinayobye",NA,A feature length film based on the Sixteen Rounds (2021)'s short film.
21,Pandora's Box,II 2019,75 min,"
Documentary            ",4.8,NA,Rebecca Snow,,17,Lifting the lid on menstruation.
22,Ghosts of our Forest,2017,63 min,"
Documentary            ",8.8,NA,Daniel Roher,,12,"After an indigenous Ugandan tribe is violently removed from its forest home, the survivors are left to reconcile with the ghosts of their ancestors as they struggle to maintain their cultural identity."
